Rank,Title,Director,Tagline,Overview,Runtime,Genres,Release Year,Cast,Rating
6749,I Spy,Betty Thomas,Attitude meets espionage.,"When the Switchblade, the most sophisticated prototype stealth fighter created yet, is stolen from the U.S. government, one of the United States' top spies, Alex Scott, is called to action. What he doesn't expect is to get teamed up with a cocky civilian, World Class Boxing Champion Kelly Robinson, on a dangerous top secret espionage mission. Their assignment: using equal parts skill and humor, catch Arnold Gundars, one of the world's most successful arms dealers.",97,"Action, Adventure, Comedy, Thriller",2002,"Eddie Murphy, Owen Wilson, Famke Janssen, Keith Dallas, Malcolm McDowell, Yan-Kay Crystal Lowe, Gary Cole, Bill Mondy, Lynda Boyd, Phill Lewis, Viv Leacock, Tate Taylor",5.392
6750,The Night of the Hunter,Charles Laughton,"The wedding night, the anticipation, the kiss, the knife, BUT ABOVE ALL...THE SUSPENSE!","In the Deep South, a serial-killing preacher hunts two young children who know the whereabouts of a stash of money.",93,"Crime, Drama, Thriller",1955,"Billy Chapin, Robert Mitchum, Sally Jane Bruce, Lillian Gish, Shelley Winters, James Gleason, Evelyn Varden, Peter Graves, Don Beddoe, Gloria Castillo, James Griffith, Gloria Pall",7.9
6751,Lords of Dogtown,Catherine Hardwicke,They came from nothing to change everything.,"The radical true story behind three teenage surfers from Venice Beach, California, who took skateboarding to the extreme and changed the world of sports forever. Stacy Peralta, Tony Alva and Jay Adams are the Z-Boys, a bunch of nobodies until they create a new style of skateboarding that becomes a worldwide phenomenon. But when their hobby becomes a business, the success shreds their friendship.",107,Drama,2005,"John Robinson, Emile Hirsch, Rebecca De Mornay, William Mapother, Julio Oscar Mechoso, Victor Rasuk, Nikki Reed, Heath Ledger, Vincent Laresca, Brian Zarate, Pablo Schreiber, Elden Henson",7.118
6752,Changeling,Clint Eastwood,"To find her son, she did what no one else dared.","Christine Collins is overjoyed when her kidnapped son is brought back home. But when Christine suspects that the boy returned to her isn't her child, the police captain has her committed to an asylum.",141,"Crime, Drama, Mystery",2008,"Angelina Jolie, John Malkovich, Jeffrey Donovan, Michael Kelly, Colm Feore, Jason Butler Harner, Amy Ryan, Geoff Pierson, Denis O'Hare, Frank Wood, Peter Gerety, Reed Birney",7.6
6753,Street Fighter II: The Animated Movie,Gisaburō Sugii,The Final Battle Of Good Against Evil Is About To Begin!,"Bison, the ruthless leader of the international terrorist organization Shadowlaw, has been desperately searching for the greatest fighter on the planet for years. He finds it in Ryu, a young wanderer who never stays in one place long enough for Bison to find him. He does, however, get a fix on Ken Masters, an American martial arts champion who studied with Ryu as a child under the same master. Meanwhile, Major Guile of the United States Army is forced to team up with Chun Li from China in hopes of apprehending Bison and putting a stop his international ring of crime.",101,"Animation, Action",1994,"Koujiro Shimizu, Kenji Haga, Miki Fujitani, Masane Tsukayama, Takeshi Kusaka, Kaneto Shiozawa, Shigezo Sasaoka, Jouji Nakata, Masakatsu Funaki, Yukimasa Kishino, Yoko Sasaki, Shozo Iizuka",6.959
6754,The Boy Next Door,Rob Cohen,A Moment She Couldn't Resist. An Obsession He Can't Control.,"A recently cheated on married woman falls for a younger man who has moved in next door, but their torrid affair soon takes a dangerous turn.",91,Thriller,2015,"Jennifer Lopez, Ryan Guzman, Ian Nelson, John Corbett, Kristin Chenoweth, Hill Harper, Lexi Atkins, François Chau, Bailey Chase, Raquel Gardner, Jack Wallace, Adam Hicks",4.871
6755,30 Minutes or Less,Ruben Fleischer,A lot can happen in 30 minutes.,"Two fledgling criminals kidnap a pizza delivery guy, strap a bomb to his chest, and advise him that he has mere hours to rob a bank or else...",83,"Action, Adventure, Comedy",2011,"Jesse Eisenberg, Danny McBride, Aziz Ansari, Nick Swardson, Dilshad Vadsaria, Michael Peña, Bianca Kajlich, Fred Ward, Lucas Fleischer, Brett Gelman, Elizabeth Shapiro, Rebecca Cox",5.754
6756,Death Race 2050,G.J. Echternkamp,,"The year 2050 the planet has become overpopulated, to help control population the government develops a race. The Death Race. Annually competitors race across the country scoring points for killing people with their vehicles.",93,"Action, Comedy, Science Fiction",2017,"Manu Bennett, Malcolm McDowell, Marci Miller, Burt Grinstead, Folake Olowofoyeku, Anessa Ramsey, Yancy Butler, Charlie Farrell, Shanna Olson, Leslie Shaw, Helen Loris, Pierre Paolo Goya Kobashigawa",4.266
6757,Detective Conan: The Raven Chaser,Yasuichiro Yamamoto,,A new member from the Black Organization that shrunk Shinichi's body manages to find out about Shinichi's transformation into Conan. This discovery starts to put those around him in danger as Gin and the other Black Organization members start to take action.,111,"Animation, Crime, Mystery, Thriller",2009,"Minami Takayama, Kappei Yamaguchi, Wakana Yamazaki, Akira Kamiya, Megumi Hayashibara, Yukiko Iwai, Ikue Otani, Wataru Takagi, Kenichi Ogata, Ryou Horikawa, Yuko Miyamura, Naoko Matsui",7.3
6758,"Yours, Mine and Ours",Melville Shavelson,The Bride had 8 Boys and Girls. The Groom had 10 Boys and Girls. Their wedding night set new attendance records.,"When a widower with ten children marries a widow with eight, can the twenty of them ever come together as one big happy family?",111,"Comedy, Family",1968,"Lucille Ball, Henry Fonda, Van Johnson, Louise Troy, Sidney Miller, Tom Bosley, Nancy Howard, Walter Brooke, Tim Matheson, Gil Rogers, Nancy Roth, Gary Goetzman",6.8
6759,Steven Universe: The Movie,Rebecca Sugar,The true kinda love.,"Two years after bringing peace to the galaxy, Steven Universe sees his past come back to haunt him in the form of a deranged Gem who wants to destroy the Earth.",82,"TV Movie, Animation, Adventure, Comedy, Fantasy, Music",2019,"Zach Callison, Deedee Magno, Estelle, Michaela Dietz, Sarah Stiles, Tom Scharpling, Uzo Aduba, Shelby Rabara, Jennifer Paz, Patti LuPone, Christine Ebersole, Lisa Hannigan",8.21
6760,Chocolate,Prachya Pinkaew,She's sweet but deadly.,"Zen, an autistic teenage girl with powerful martial arts skills, gets money to pay for her sick mother Zin's treatment by seeking out all the people who owe Zin money and making them pay.",93,"Action, Crime",2008,"JeeJa Yanin, Hiroshi Abe, Pongpat Wachirabunjong, Taphon Phopwandee, Ammara Siripong, Dechawut Chuntakaro, Hiro Sano, Aroon Wanatsabadeewong, Anusuk Jangajit, Kittitat Kowahagul, Thanyathon Seekhiaw, Pirom Ruangkitjakan",7.317
6761,The Blue Room,Walter Doehner,,A couple meet each other often in a motel room.,104,"Drama, Romance",2002,"Juan Manuel Bernal, Patricia Llaca, Elena Anaya, Mario Iván Martínez, Margarita Sanz, José María Yázpik, Joaquín Cosío, Damián Alcázar",5.1
6762,Running with the Devil,Jason Cabell,,A leader of a drug cartel sends his two toughest henchmen to investigate why a shipment was botched.,100,"Crime, Drama, Thriller",2019,"Nicolas Cage, Leslie Bibb, Peter Facinelli, Cole Hauser, Laurence Fishburne, Clifton Collins Jr., Barry Pepper, Adam Goldberg, Natalia Reyes, Luce Rains, Tait Fletcher, Sarah Minnich",5.431
6763,Baby Geniuses,Bob Clark,Think innocent. Think helpless. Think again. Naps are history.,"Scientist hold talking, super-intelligent babies captive, but things take a turn for the worse when a mix-up occurs between a baby genius and its twin.",97,"Science Fiction, Comedy, Family",1999,"Kathleen Turner, Christopher Lloyd, Kim Cattrall, Peter MacNicol, Dom DeLuise, Ruby Dee, Kyle Howard, Kaye Ballard, Leo Fitzgerald, Myles Fitzgerald, Gerry Fitzgerald, Connor Leggett",4.0
6764,Son of Godzilla,Jun Fukuda,A great duel against a new monster by a parent-child combination!,Reporter Goro Maki stumbles upon scientists conducting weather experiments on Sollgel Island in the South Seas. He discovers the island is inhabited by giant mantis and a woman named Saeko who's been cast away since the death of her father. The pair soon find a helpless infant monster that Godzilla must adopt and learn to raise as one of his own.,86,"Adventure, Comedy, Family",1967,"Tadao Takashima, Akira Kubo, Bibari Maeda, Akihiko Hirata, Yoshio Tsuchiya, Kenji Sahara, Ken'ichirō Maruyama, Seishirō Kuno, Yasuhiko Saijô, Susumu Kurobe, Kazuo Suzuki, Wataru Ōmae",6.371
6765,V.I.P.,Park Hoon-jung,"The most dangerous, the most vicious and the most wanted.","A son to a high-ranked official in North Korea commits a series of murders going across the countries around the world. The movie depicts the following events as South Korea, North Korea and Interpol start chasing down after him.",128,"Crime, Thriller, Action",2017,"Jang Dong-gun, Kim Myung-min, Park Hee-soon, Lee Jong-suk, Choi Jung-woo, Peter Stormare, Jo Woo-jin, Oh Dae-hwan, Park Sung-woong, Ji Eun-seo, Bae Yong-geun, Chung Ye-jin",7.834
6766,Don't Knock Twice,Caradog W. James,Pray she doesn't answer.,A mother desperate to reconnect with her troubled daughter becomes embroiled in the urban legend of a demonic witch.,93,Horror,2016,"Katee Sackhoff, Lucy Boynton, Javier Botet, Nick Moran, Pooneh Hajimohammadi, Jordan Bolger, Callum Griffiths, Ania Marson, David Broughton-Davies, Lee Fenwick, Richard Mylan",5.502
6767,God's Not Dead,Harold Cronk,What do you believe?,"After he refuses to disavow his faith, a devout Christian student must prove the existence of God or else his college philosophy professor will fail him.",113,Drama,2014,"Kevin Sorbo, Shane Harper, David A.R. White, Dean Cain, Cassidy Gifford, Marco Khan, Alex Aristidis, Willie Robertson, Korie Robertson, Hadeel Sittu, Paul Kwo, Trisha LaFache",6.033
6768,Erotic Ghost Story III,Ivan Lai Kai-Ming,,"The once mighty Tang Dynasty is in its decline. The big land of China is being visited by famine, natural disasters and devils. Chu Chung is such a person. Everywhere he goes, beautiful Suzie follows. So they meet Wick, a monk endowed with magic powers. Chu Chung sees a picture of an exceedingly beautiful girl and falls in love with her. He begs Wick to help him cross the human-spiritual barrier to enter the picture. Chu Chung meets the girl Yi-meng. They make love. Little does Chu Chung realize he has fallen into arch demon Vixen's trap. Unwittingly, he kills the upright god of justice. Suzie helps a repentant Chu Chung escape into the human world. She herself is incarcerated. Wick and Suzie reluctantly help Chu Chung enter the spiritual world again. Righteousness prevails. Vixen loses the war. And Yi-meng is transported to the human world. Unfortunately, Suzie dies. But she may not have died after all...",94,"Horror, Drama, Fantasy",1992,"Pauline Chan, Cheung Ging-Fa, Shing Fui-On, Noel Chik King-Man, Kenny Wong Tak-Ban, William Ho Ka-Kui, Otomo Rena",5.4
6769,Dominion: Prequel to The Exorcist,Paul Schrader,"Go back before the beginning, to the place where evil was born.",Father Merrin takes a sabbatical from the Church to devote himself to history and archaeology as he struggles with his shattered faith.,116,Horror,2005,"Stellan Skarsgård, Gabriel Mann, Clara Bellar, Billy Crawford, Ralph Brown, Israel Aduramo, Andrew French, Antonie Kamerling, Julian Wadham, Eddie Osei, Ilario Bisi-Pedro, Niall Refoy",5.365
6770,Cold Skin,Xavier Gens,We are never too far from those we hate,A young man who arrives at a remote island finds himself trapped in a battle for his life.,106,"Horror, Fantasy, Drama",2017,"David Oakes, Ray Stevenson, Aura Garrido, Winslow Iwaki, John Benfield, Ben Temple, Iván González, Alejandro Rod, Julien Blaschke, Damián Montesdeoca, Israel Bodero, Roberto Rincón",6.251
6771,Hotel Paradise,Edoardo Mulargia,,"At a female prison located deep within the deadly South American jungles, a group of woman are forced to mine for valuable emeralds for the local corrupt government. A group of new prisoners on the way to the jail are ambushed and are convinced to join a group of revolutionaries seeking to overthrow the prison guards and take the treasure of jewels for themselves.",94,"Drama, Action, Adventure",1980,"Anthony Steffen, Ajita Wilson, Cristina Lay, Stelio Candelli, Luciano Rossi, Aldo Minandri, Gota Gobert, Zaira Zoccheddu, Maite Nicote, Serafino Profumo, Franco Daddi, Adelaide Cendra",5.6
6772,"Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack",Shusuke Kaneko,The God of Destruction Godzilla lands in Japan!,"Godzilla has become a distant memory for Japan when the destruction of a US submarine raises alarms for Admiral Tachibana. His estranged daughter Yuri investigates the legend of the guardian monsters, who must rise to protect Japan against the vengeful spirits within Godzilla that seek to destroy both the nation and its people for the suffering they inflicted in the Pacific conflict.",105,"Action, Science Fiction, Horror",2001,"Chiharu Niiyama, Ryudo Uzaki, Masahiro Kobayashi, Shirō Sano, Takashi Nishina, Kaho Minami, Shin'ya Ohwada, Kunio Murai, Hiroyuki Watanabe, Shingo Katsurayama, Toshikazu Fukawa, Ryo Kase",7.4
6773,The Objective,Daniel Myrick,,A team of US Special Ops forces is dispatched to a remote mountain region of Afghanistan with orders to locate an influential Muslim cleric. While on the mission they find themselves lost in a Middle Eastern 'Bermuda Triangle' of ancient evil and faced with an enemy that none of them could have imagined.,90,"Action, Horror, Science Fiction, Thriller",2008,"Jonas Ball, Matthew R. Anderson, Jon Huertas, Michael C. Williams, Sam Hunter, Jeff Prewett, Vanessa Johansson",5.516
6774,My Lovely Angel,"Lee Chang-won, Kwon Sung-mo",I see you. I hear you. I feel you.,"A life-changing story of a man who has lived as a loner his entire life. Jae Shik begins to live together with a child with a hearing-visual disability, as they change each other's lives and try to find a way to communicate.",100,Drama,2021,"Jin Goo, Jung Seo-yeon, Kang Shin-il, Jang Hye-jin, Park Ye-ni, Bang Eun-jeong, Park Hui-eun, Jang Yoon-jung, Kim Jong-goo, Kim Jae-rok, Song Chae-rin",7.167
6775,The River Wild,Curtis Hanson,The vacation is over.,"Gail and Tom Hartman are struggling to stay together and decide to take a white-water rafting holiday adventure in Montana for their son Roarke's 10th birthday, only to meet up with a pair of mysterious men whose desperation grows, turning their vacation into a nightmare.",111,"Adventure, Thriller, Drama",1994,"Meryl Streep, David Strathairn, Kevin Bacon, John C. Reilly, Joseph Mazzello, Benjamin Bratt, William Lucking, Stephanie Sawyer, Elizabeth Hoffman, Victor Galloway, Diane Delano, Thomas F. Duffy",6.4
6776,Bedknobs and Broomsticks,Robert Stevenson,You'll beWITCHED! You'll beDAZZLED! You'll be swept into a world of enchantment BEYOND ANYTHING BEFORE!,Three children evacuated from London during World War II are forced to stay with an eccentric spinster. The children's initial fears disappear when they find out she is in fact a trainee witch.,117,"Adventure, Fantasy, Comedy, Family, Music, Animation",1971,"Angela Lansbury, David Tomlinson, Roddy McDowall, Sam Jaffe, John Ericson, Bruce Forsyth, Cindy O'Callaghan, Roy Snart, Ian Weighill, Tessie O'Shea, Arthur Gould-Porter, Ben Wrigley",7.038
6777,La Belle Noiseuse,Jacques Rivette,,"The former famous painter Frenhofer lives quietly with his wife on a countryside residence in the French Provence. When the young artist Nicolas visits him with his girlfriend Marianne, Frenhofer decides to start again the work on a painting he long ago stopped: La Belle Noiseuse. And he wants Marianne as model.",238,Drama,1991,"Michel Piccoli, Emmanuelle Béart, Jane Birkin, Marianne Denicourt, David Bursztein, Gilles Arbona, Marie Belluc, Marie-Claude Roger, Leïla Remili, Daphne Goodfellow, Susan Robertson, Bernard Dufour",7.361
6778,Cure,Kiyoshi Kurosawa,Madness. Terror. Murder.,"A wave of gruesome murders is sweeping Tokyo. The only connection is a bloody X carved into the neck of each of the victims. In each case, the murderer is found near the victim and remembers nothing of the crime. Detective Takabe and psychologist Sakuma are called in to figure out the connection, but their investigation goes nowhere...",111,"Crime, Thriller, Horror, Mystery",1997,"Koji Yakusho, Masato Hagiwara, Tsuyoshi Ujiki, Anna Nakagawa, Yukijiro Hotaru, Yoriko Doguchi, Denden, Ren Osugi, Masahiro Toda, Misayo Haruki, Shun Nakayama, Akira Otaka",7.438
6779,The Soloist,Joe Wright,Life has a mind of its own,"A Los Angeles journalist befriends a homeless Juilliard-trained musician, while looking for a new article for the paper.",109,"Drama, Music",2009,"Robert Downey Jr., Jamie Foxx, Catherine Keener, Tom Hollander, Nelsan Ellis, Michael Bunin, LisaGay Hamilton, Rachael Harris, Stephen Root, Lorraine Toussaint, Jena Malone, Octavia Spencer",6.685
6780,Official Secrets,Gavin Hood,Nothing is more dangerous than the truth,The true story of British intelligence whistleblower Katharine Gun who—prior to the 2003 Iraq invasion—leaked a top-secret NSA memo exposing a joint US-UK illegal spying operation against members of the UN Security Council. The memo proposed blackmailing member states into voting for war.,112,"Thriller, History, Drama",2019,"Keira Knightley, Matt Smith, Ralph Fiennes, Adam Bakri, Matthew Goode, Rhys Ifans, Indira Varma, John Heffernan, Conleth Hill, Jack Farthing, MyAnna Buring, Peter Guinness",7.228
6781,Duna,Una Cekule,,A young woman gets flashbacks from her previous lives - flashbacks of how she died. Is her fate doomed to repeat itself again?,14,"Mystery, Drama",2018,"Elīna Vaska, Mārtiņš Upenieks",5.0
6782,Nicky Larson and the Cupid's Perfume,Philippe Lacheau,,"Nicky Larson is tasked to recover the perfume of Cupid, a perfume that would make anyone who uses it irresistible.",91,"Adventure, Comedy",2019,"Philippe Lacheau, Élodie Fontan, Tarek Boudali, Julien Arruti, Didier Bourdon, Pamela Anderson, Gérard Jugnot, Kamel Guenfoud, Audrey Lamy, Chantal Ladesou, Raphaël Personnaz, Reem Kherici",6.5
6783,Kickboxer: Retaliation,Dimitri Logothetis,It's time to fight back,"One year after the events of ""Kickboxer: Vengeance"", Kurt Sloan has vowed never to return to Thailand. However, while gearing up for a MMA title shot, he finds himself sedated and forced back into Thailand, this time in prison. He is there because the ones responsible want him to face a 6'8"" 400 lbs. beast named Mongkut and in return for the fight, Kurt will get two million dollars and his freedom back. Kurt at first refuses, in which a bounty is placed on his head as a way to force him to face Mongkut. Kurt soon learns he will have no other choice and will undergo his most rigorous training yet under some unexpected mentors in order to face Mongkut in hopes to regain his freedom.",110,"Action, Drama",2018,"Alain Moussi, Christophe Lambert, Jean-Claude Van Damme, Mike Tyson, Sara Malakul Lane, Hafþór Júlíus Björnsson, Sam Medina, Steven Swadling, Miles Strommen, Jessica Jann, Maxime Savaria, Wanderlei Silva",5.404
6784,13 Assassins,Takashi Miike,Take up your sword.,A bravado period action film set at the end of Japan's feudal era in which a group of unemployed samurai are enlisted to bring down a sadistic lord and prevent him from ascending to the throne and plunging the country into a war-torn future.,141,"Adventure, Drama, Action",2010,"Koji Yakusho, Takayuki Yamada, Yûsuke Iseya, Goro Inagaki, Kazue Fukiishi, Hiroki Matsukata, Tsuyoshi Ihara, Ikki Sawamura, Arata Furuta, Sousuke Takaoka, Rokkaku Seiji, Kazuki Namioka",7.305
6785,Are We There Yet?,Brian Levant,24 hours. 350 miles. His girlfriend's kids. What could possibly go wrong?,"The fledgling romance between Nick, a playboy bachelor, and Suzanne, a divorced mother of two, is threatened by a particularly harrowing New Years Eve. When Suzanne's work keeps her in Vancouver for the holiday, Nick offers to bring her kids to the city from Portland, Oregon. The kids, who have never liked any of the men their mom dates, are determined to turn the trip into a nightmare for Nick.",95,"Family, Adventure, Comedy, Romance",2005,"Ice Cube, Nia Long, Aleisha Allen, Philip Bolden, Jay Mohr, M.C. Gainey, Henry Simmons, Ray Galletti, Viv Leacock, Sean Millington, C. Ernst Harth, Tim Perez",5.559
6786,Creed IV,Michael B. Jordan,,The fourth installment of the “Creed” saga,0,"Action, Drama",,"Michael B. Jordan, Tessa Thompson, Mila Davis-Kent",0.0
6787,Terminal,Vaughn Stein,Revenge never looked so good,"In the dark heart of a sprawling, anonymous city, two assassins carry out a sinister mission, a teacher battles a fatal illness, and an enigmatic janitor and a curious waitress lead dangerous double lives.  Murderous consequences unravel in the dead of night, as their lives intertwine at the hands of a mysterious criminal mastermind who is hell-bent on revenge.",95,"Crime, Drama, Thriller",2018,"Margot Robbie, Simon Pegg, Dexter Fletcher, Max Irons, Mike Myers, Katarina Čas, Nick Moran, Les Loveday, Jourdan Dunn, Matthew Lewis, Thomas Turgoose, Jay Simpson",5.519
6788,A Nightmare on Elm Street 3: Dream Warriors,Chuck Russell,"If you think you'll get out alive, you must be dreaming.","During a hallucinatory incident, Kristen Parker has her wrists slashed by dream-stalking monster, Freddy Krueger. Her mother, mistaking the wounds for a suicide attempt, sends her to a psychiatric ward, where she joins a group of similarly troubled teens.",96,"Horror, Thriller, Fantasy",1987,"Patricia Arquette, Heather Langenkamp, Craig Wasson, Robert Englund, Ken Sagoes, Rodney Eastman, Jennifer Rubin, Bradley Gregg, Ira Heiden, Laurence Fishburne, Penelope Sudrow, John Saxon",6.7
6789,Showdown in Little Tokyo,Mark L. Lester,One's a warrior. One's a wise guy. They're two L.A. cops going after a gang of drug lords. Feet first.,"An American with a Japanese upbringing, Chris Kenner is a police officer assigned to the Little Tokyo section of Los Angeles. Kenner is partnered with Johnny Murata, a Japanese-American who isn't in touch with his roots. Despite their differences, both men excel at martial arts, and utilize their formidable skills when they go up against Yoshida, a vicious yakuza drug dealer with ties to Kenner's past.",79,"Action, Comedy, Crime",1991,"Dolph Lundgren, Brandon Lee, Cary-Hiroyuki Tagawa, Tia Carrere, Philip Tan, Rodney Kageyama, Ernie Lively, Renee Griffin, Reid Asato, Takayo Fischer, Simon Rhee, Vernee Watson-Johnson",6.396
6790,All Your Faces,Jeanne Herry,,"Since 2014, France's restorative justice programmes have offered a safe space for supervised dialogue between offenders and victims. Grégoire, Nawelle, and Sabine, victims of heists and violent robberies, agree to join one of these discussion groups alongside offenders Nassim, Issa, and Thomas, all convicted of violent robberies. Meanwhile Chloé, a victim of childhood sexual abuse, prepares for dialogue with her own agressor after learning he has moved back into town.",115,Drama,2023,"Birane Ba, Leïla Bekhti, Anne Benoît, Dali Benssalah, Élodie Bouchez, Suliane Brahim, Jean-Pierre Darroussin, Adèle Exarchopoulos, Gilles Lellouche, Miou-Miou, Pascal Sangla, Fred Testot",8.057
6791,The Ladykillers,"Joel Coen, Ethan Coen",The greatest criminal minds of all time have finally met their match.,"An eccentric, if not charming Southern professor and his crew pose as a band in order to rob a casino, all under the nose of his unsuspecting landlord – a sharp old woman.",104,"Comedy, Crime, Thriller",2004,"Tom Hanks, Irma P. Hall, Marlon Wayans, J.K. Simmons, Tzi Ma, Ryan Hurst, Diane Delano, George Wallace, John McConnell, Jason Weaver, Stephen Root, Baadja-Lyne Odums",6.128
6792,Tamako Love Story,Naoko Yamada,"The end of school, the beginning of love…","Devoted to her family’s rice-cake–making business and the high school baton club, Tamako is a little slow when it comes to love. She’s oblivious to her childhood friend Mochizo’s affections, even though all their friends know. With graduation closing in and Mochizo leaving for Tokyo, will Tamako realise her feelings and tell him in time?",83,"Romance, Animation, Comedy",2014,"Aya Suzaki, Atsushi Tamaru, Yuri Yamaoka, Yuki Kaneko, Juri Nagatsuma, Rina Hidaka, Takumi Yamazaki, Yurie Yamashita, Keiji Fujiwara, Satsuki Yukino, Yoko Hikasa, Fumihiko Tachiki",7.037
6793,The Wing or the Thigh?,Claude Zidi,,"Charles Duchemin, a well-known gourmet and publisher of a famous restaurant guide, is waging a war against fast food entrepreneur Tri- catel to save the French art of cooking. After having agreed to appear on a talk show to show his skills in naming food and wine by taste, he is confronted with two disasters: his son wants to become a clown rather than a restaurant tester and he, the famous Charles Duchemin, has lost his taste!",104,Comedy,1976,"Louis de Funès, Coluche, Ann Zacharias, Julien Guiomar, Raymond Bussières, Philippe Bouvard, Daniel Langlet, Claude Gensac, Georges Chamarat, Jean Martin, Gérard Boucaron, Yves Afonso",7.2
6794,LOL,Lisa Azuelos,"You can change your status, but not your heart.","In a world connected by YouTube, iTunes, and Facebook, Lola and her friends navigate the peer pressures of high school romance and friendship while dodging their sometimes overbearing and confused parents. When Lola's mom, Anne, ""accidentally"" reads her teenage daughter's racy journal, she realizes just how wide their communication gap has grown.",97,"Drama, Comedy, Romance",2012,"Miley Cyrus, Demi Moore, Douglas Booth, Ashley Greene, Ashley Grace, Thomas Jane, Nora Dunn, Jay Hernandez, Fisher Stevens, Jean-Luc Bilodeau, Gina Gershon, Adam Sevani",6.109
6795,Magic Mike,Steven Soderbergh,Work all day. Work it all night.,"Mike, an experienced stripper, takes a younger performer called The Kid under his wing and schools him in the arts of partying, picking up women, and making easy money.",110,"Drama, Comedy",2012,"Channing Tatum, Matthew McConaughey, Alex Pettyfer, Cody H. Carolin, Olivia Munn, Joe Manganiello, Matt Bomer, James Martin Kelly, Reid Carolin, Adam Rodriguez, Kevin Nash, Gabriel Iglesias",6.163
6796,Dark Water,Walter Salles,"This Season, The Mystery Of The Darkness Will Consume Your Life","Dahlia Williams and her daughter Cecelia move into a rundown apartment on New York's Roosevelt Island. Dahlia is in the midst of divorce proceedings, and the apartment, though near an excellent school for her daughter, is all she can afford. From the time she arrives, there are mysterious occurrences—and there is a constant drip from the ceiling in her daughter's bedroom…",105,"Horror, Mystery, Drama",2005,"Jennifer Connelly, John C. Reilly, Tim Roth, Dougray Scott, Pete Postlethwaite, Ariel Gade, Camryn Manheim, Perla Haney-Jardine, Debra Monk, Linda Emond, Bill Buell, Kate Hewlett",5.6
6797,Godzilla vs. Megaguirus,Masaaki Tezuka,Godzilla disappears.,"In an alternate timeline the original Godzilla is never defeated and repeatedly reemerges to feed on Japan's energy sources. A new inter-dimensional weapon called the Dimension Tide is created with the intent of eliminating Godzilla. However, the new weapon might also serve as a gateway to something far more sinister.",105,"Action, Science Fiction, Horror",2000,"Misato Tanaka, Masatō Ibu, Shosuke Tanihara, Yuriko Hoshi, Toshiyuki Nagashima, Koichi Yamadera, Tsutomu Kitagawa, Koichi Ueda, Yusaku Yara",6.6
6798,Death to 2020,"Al Campbell, Alice Mathias","""What a shit show!""","2020: A year so [insert adjective of choice here], even the creators of Black Mirror couldn't make it up… but that doesn't mean they don't have a little something to add. This comedy event that tells the story of the dreadful year that was — and perhaps still is? The documentary-style special weaves together some of the world's most (fictitious) renowned voices with real-life archival footage.",71,Comedy,2020,"Samuel L. Jackson, Hugh Grant, Lisa Kudrow, Kumail Nanjiani, Tracey Ullman, Samson Kayo, Leslie Jones, Diane Morgan, Cristin Milioti, Joe Keery, Laurence Fishburne, Angelo Irving",6.514
6799,Let Me In,Matt Reeves,Innocence dies. Abby doesn't.,A bullied young boy befriends a young female vampire who lives in secrecy with her guardian.  A remake of the movie “Let The Right One In” which was an adaptation of a book.,116,"Drama, Horror, Mystery",2010,"Kodi Smit-McPhee, Chloë Grace Moretz, Richard Jenkins, Elias Koteas, Sasha Barrese, Dylan Kenin, Dylan Minnette, Jimmy 'Jax' Pinchak, Nicolai Dorian, Seth Adkins, Ritchie Coster, Cara Buono",6.767
6800,The Stolen Princess,Oleg Malamuzh,Love is stronger than magic,"This wonderful story happened in the age of valiant knights, beautiful princesses, and battling sorcerers. Ruslan, a wandering artist dreaming to become a knight, met beautiful Mila and fell in love with her; he didn’t even suspect that she is the King’s daughter. However, the lovers’ happiness wasn’t meant to last too long. Chernomor, the evil sorcerer, appeared in a magic vortex and stole Mila right before Ruslan’s eyes to transform her power of love into his own magic power. Without further ado, Ruslan sets out on a chase after the stolen princess to overcome all obstacles and to prove that real love is stronger than magic.",85,"Animation, Comedy, Adventure, Family",2018,"Nadya Dorofeeva, Oleksii Zavgorodnii, Yevhen Malukha, Oleh Mykhailiuta, Mykola Boklan, Serhii Prytula, Yuriy Gorbunov, Alyson Leigh Rosenfeld, Kaïna Blada, Fabrice Lelyon, Vincent de Boüard, Roman Lutskyi",6.759
6801,The Stolen Princess,Oleg Malamuzh,Love is stronger than magic,"This wonderful story happened in the age of valiant knights, beautiful princesses, and battling sorcerers. Ruslan, a wandering artist dreaming to become a knight, met beautiful Mila and fell in love with her; he didn’t even suspect that she is the King’s daughter. However, the lovers’ happiness wasn’t meant to last too long. Chernomor, the evil sorcerer, appeared in a magic vortex and stole Mila right before Ruslan’s eyes to transform her power of love into his own magic power. Without further ado, Ruslan sets out on a chase after the stolen princess to overcome all obstacles and to prove that real love is stronger than magic.",85,"Animation, Comedy, Adventure, Family",2018,"Nadya Dorofeeva, Oleksii Zavgorodnii, Yevhen Malukha, Oleh Mykhailiuta, Mykola Boklan, Serhii Prytula, Yuriy Gorbunov, Alyson Leigh Rosenfeld, Kaïna Blada, Fabrice Lelyon, Vincent de Boüard, Roman Lutskyi",6.759
